,Place 132560,Place 132561,Place 132564,Place 132572,Place 132583,Place 132584,Place 132594,Place 132608,Place 132609,Place 132613,Place 132626,Place 132630,Place 132654,Place 132660,Place 132663,Place 132665,Place 132667,Place 132668,Place 132706,Place 132715,Place 132717,Place 132723,Place 132732,Place 132733,Place 132740,Place 132754,Place 132755,Place 132766,Place 132767,Place 132768,Place 132773,Place 132825,Place 132830,Place 132834,Place 132845,Place 132846,Place 132847,Place 132851,Place 132854,Place 132856,Place 132858,Place 132861,Place 132862,Place 132866,Place 132869,Place 132870,Place 132872,Place 132875,Place 132877,Place 132884,Place 132885,Place 132921,Place 132922,Place 132925,Place 132937,Place 132951,Place 132954,Place 132955,Place 132958,Place 134975,Place 134976,Place 134983,Place 134986,Place 134987,Place 134992,Place 134996,Place 134999,Place 135000,Place 135001,Place 135011,Place 135013,Place 135016,Place 135018,Place 135019,Place 135021,Place 135025,Place 135026,Place 135027,Place 135028,Place 135030,Place 135032,Place 135033,Place 135034,Place 135035,Place 135038,Place 135039,Place 135040,Place 135041,Place 135042,Place 135043,Place 135044,Place 135045,Place 135046,Place 135047,Place 135048,Place 135049,Place 135050,Place 135051,Place 135052,Place 135053,Place 135054,Place 135055,Place 135057,Place 135058,Place 135059,Place 135060,Place 135062,Place 135063,Place 135064,Place 135065,Place 135066,Place 135069,Place 135070,Place 135071,Place 135072,Place 135073,Place 135074,Place 135075,Place 135076,Place 135079,Place 135080,Place 135081,Place 135082,Place 135085,Place 135086,Place 135088,Place 135104,Place 135106,Place 135108,Place 135109
Place 132825,-0.207460043,-0.17826996,-0.156926223,-0.077067472,-0.166447075,-0.145228115,-0.198309306,-0.145636098,-0.184734126,-0.153101253,-0.136183579,-0.158088572,-0.221010893,-0.143543239,-0.198309306,-0.1518559,-0.172739145,-0.158925383,-0.150427036,-0.156251123,-0.137109793,-0.070088507,-0.165235708,-0.151941305,-0.166912103,0.206415458,-0.044246104,-0.209638203,-0.15091062,-0.154818046,-0.144804706,1,-0.1266191,0.193131693,-0.177099408,-0.167770889,-0.169350787,-0.164241453,-0.16393823,0.080966662,-0.178313008,-0.140361715,0.132356993,-0.156934673,-0.155532279,-0.166474841,-0.150888235,-0.190158243,-0.220523517,-0.031399317,-0.15967444,-0.061132123,-0.149300532,-0.092462339,-0.13979499,-0.065995702,-0.113831436,-0.015903862,-0.161803694,-0.144001832,-0.158459387,-0.158487858,-0.153152853,-0.142693067,-0.173495351,-0.166494371,-0.153009443,-0.159419719,-0.170690508,-0.166447075,-0.149422928,-0.152822511,-0.150676807,-0.155165205,-0.155333111,0.317881082,-0.172045834,0.170380453,0.221783353,0.151433563,0.068382689,-0.008047508,-0.141215,-0.182040769,0.213103384,0.014460061,-0.042470164,0.013347587,0.102614821,0.008727945,0.051824462,-0.030156605,-0.070401162,0.245105249,0.054807052,-0.016977427,-0.053800398,0.143430858,0.142274554,-0.141722185,-0.179568521,-0.022848605,-0.20711881,-0.098086103,0.341543256,0.064239852,0.046963734,0.138152061,0.02787338,-0.135644278,-0.136212533,-0.162532503,-0.148458502,-0.181063165,-0.212513632,-0.131914451,-0.113729724,0.122115878,0.059731877,0.007331334,-0.039961801,0.10581053,-0.168559815,0.484999325,-0.198194503,-0.157243634,-0.170881081,0.016089794,-0.19438413,-0.158479485
Place 132830,0.064726564,0.06859205,0.039625857,-0.089354155,0.032971342,0.01824498,0.050586496,0.030502629,0.062741712,0.021819124,0.041991199,0.034510755,0.089944709,0.018385703,0.050586496,0.049050027,0.021742653,0.047113153,0.056153222,0.04419045,0.041503783,-0.111758762,0.030207951,0.011916659,0.025651634,-0.170137517,-0.042518601,0.063031021,0.008944023,-0.00574446,0.03152267,-0.1266191,1,-0.138205065,0.021329635,0.244377792,0.371733432,0.227368898,0.117020808,-0.095919127,0.020008415,-0.066013149,-0.139735456,0.254154098,0.152627634,0.039131195,-0.065682411,-0.037435466,0.267605198,-0.042682759,0.020636836,-0.106608698,-0.043003557,-0.003719734,-0.016104843,-0.065003172,-0.089510632,-0.097985865,0.014687025,0.032511022,-0.000705591,0.015037389,-0.010040802,0.034849294,0.025259417,-0.021937503,0.008213253,0.01391738,-0.022166081,0.032971342,0.010848668,0.05359912,0.024326,0.005438496,-0.005292322,-0.044181095,-0.099293149,-0.038402003,0.014407609,-0.128593688,-0.081093845,0.148094297,-0.082955085,-0.013807063,-0.107564482,0.057826196,0.240888719,-0.035478363,0.049854463,0.105552206,-0.024222524,-0.07193323,-0.090846249,0.042049068,-0.070564902,-0.04833713,0.348736349,-0.039655908,-0.118366108,-0.082357472,0.212292784,-0.082385679,0.335201876,-0.131636027,-0.095890259,-0.07278577,-0.078078276,-0.078199654,0.084548683,-0.0676177,0.238422531,0.36225983,0.399015378,0.580748069,-0.063995371,-0.005872117,-0.045921787,-0.155266739,0.199978342,-0.103527782,-0.070564902,0.19280715,0.243669904,-0.223011322,-0.068656332,0.036858623,0.021067566,-0.071660457,0.269415132,0.041732046
Place 132834,-0.10816663,-0.083779729,-0.079483646,-0.135937559,-0.090844069,-0.078419084,-0.105546511,-0.075231642,-0.090821395,-0.082714748,-0.065219188,-0.079350101,-0.10964837,-0.078598424,-0.105546511,-0.073630305,-0.098306382,-0.081428684,-0.071523441,-0.078823455,-0.067837577,0.053594128,-0.089384889,-0.080618107,-0.090878607,0.184756172,0.071290056,-0.110423009,-0.087884692,-0.089488943,-0.074204724,0.193131693,-0.138205065,1,-0.103363929,-0.109091489,-0.111075509,-0.097809524,-0.102018727,0.121978128,-0.104787808,-0.160542827,0.187999077,-0.095468863,-0.085723848,-0.090204548,0.275484813,-0.079042682,-0.129464932,0.093699578,-0.142380761,-0.076688642,-0.127944886,-0.125265304,-0.122352333,0.107880103,-0.013693287,-0.081755638,-0.087796087,-0.074841087,-0.097387188,-0.092623675,-0.090872892,-0.074669185,-0.099132419,-0.106113205,-0.088242932,-0.093765601,-0.112175985,-0.090844069,-0.086010485,-0.074318333,-0.081453895,-0.090962281,-0.09250257,0.006416264,-0.008108708,-0.076766393,0.059625213,0.417116469,-0.105215253,-0.0277526,-0.068667477,-0.120020118,0.178762282,0.167087395,-0.121178719,0.064875121,0.093520812,0.163423605,-0.147108912,-0.041994757,-0.086219229,0.090450583,-0.040263419,0.125393503,-0.137162738,-0.092404741,-0.038188347,0.040887826,-0.117148983,-0.162011985,-0.145608517,0.104276455,-0.011226317,0.174221369,-0.163235117,-0.064312534,0.158505882,0.045934435,0.193307527,-0.13592817,-0.06767836,-0.121306138,-0.105133486,-0.048699606,-0.142071716,-0.017009768,-0.090674165,0.120870833,0.028557339,-0.165663276,-0.110082283,0.292037176,-0.114934922,-0.079264169,-0.095638172,-0.110098192,-0.134864826,-0.081453738
Place 132845,0.243117578,0.235806299,0.169340013,-0.026998905,0.160759695,0.122893434,0.212123305,0.145744694,0.228084386,0.133910808,0.16185306,0.161820229,0.297550832,0.121479966,0.212123305,0.183764727,0.143542552,0.182824606,0.195608779,0.176803204,0.160477003,-0.071396219,0.155743589,0.117191282,0.148771436,-0.163790399,0.02716598,0.241045234,0.107303585,0.085168747,0.147256229,-0.177099408,0.021329635,-0.103363929,1,0.281556502,0.279021762,0.556569326,0.481681193,-0.041903902,0.42818199,-0.000338833,-0.110977495,0.095746592,0.344550475,0.171562974,0.008794374,0.040897503,0.757070987,0.029982247,0.173278783,-0.059125794,0.025346203,0.106958723,0.076868847,0.001174306,-0.037040594,-0.060210828,-0.06554788,0.14784757,0.092826371,0.122077177,0.07561075,0.150692386,0.149754457,0.059595289,0.107811162,0.120427325,0.059827726,0.160759695,0.110162462,0.191993664,0.136595712,0.103641507,0.084792468,-0.087632908,0.028628086,0.036381028,-0.124588875,-0.096766286,-0.06674033,0.184522245,-0.037397368,0.080255806,-0.058571297,-0.03542335,0.290090426,-0.08652085,-0.073519785,0.057350871,0.077626423,-0.010166129,-0.041379605,-0.01690724,-0.003143682,0.029092959,0.020711974,-0.093331493,-0.079218914,-0.032971254,0.16023,-0.036901659,0.153342575,-0.095605592,-0.055066143,-0.00172644,-0.087539903,-0.02486556,-0.096215366,-0.008892667,-0.089794678,0.12465648,0.06502261,0.448376834,0.002684294,0.091958937,0.025142118,-0.14098973,-0.031208754,-0.058649749,-0.003143682,-0.016897415,0.280290407,-0.214136695,0.011737571,0.165063383,0.142115819,-0.016220438,0.368019158,0.173284268
Place 132846,0.139798259,0.137583736,0.094112252,-0.05279718,0.087619077,0.063148722,0.119051395,0.079209207,0.131549872,0.069856378,0.091735327,0.088003136,0.176213751,0.062751462,0.119051395,0.105031038,0.074641996,0.104097962,0.113813677,0.099764589,0.091150198,-0.082740649,0.083853734,0.057091466,0.078456898,-0.150211817,-0.006850224,0.138128029,0.05221465,0.034654139,0.080338283,-0.167770889,0.244377792,-0.109091489,0.281556502,1,0.925077711,0.108572606,0.465148782,-0.061980973,0.591048312,-0.029773328,-0.113527883,0.411508199,0.144382627,0.532838987,-0.025723122,0.001546587,0.37434361,-0.005312716,0.088477982,-0.075329055,-0.008156746,0.046986732,0.027705097,-0.028647127,-0.056476477,-0.070749442,0.063135991,0.081263961,0.041450903,0.06198347,0.028493378,0.083823465,0.079280834,0.016193018,0.051942476,0.060748534,0.016662274,0.087619077,0.054339814,0.111067218,0.07237405,0.048843778,0.035087274,-0.094952422,0.048638693,-0.000548323,0.065714179,-0.101762054,-0.041936404,0.097350723,-0.053858017,0.030240368,-0.075604067,-0.054721383,0.169734436,-0.094887812,-0.085644436,0.012147903,0.024775303,0.012085997,-0.059687043,0.097129262,-0.032265176,-0.007725487,-0.012337538,-0.099922482,-0.089886131,-0.05146814,0.087790273,-0.053638261,0.181932946,-0.102748304,-0.068109133,-0.034412104,-0.094942745,-0.046150412,0.149025025,-0.034297764,-0.095905003,0.16147205,0.018378405,0.296876235,-0.027523304,0.038998565,-0.008917013,-0.133601885,-0.05424082,-0.073181846,-0.032265176,-0.042305146,0.02709975,-0.198138846,-0.025192531,0.090719457,0.073444853,-0.03963647,0.054484412,0.097101641
Place 132847,0.135478326,0.134005658,0.091456528,-0.054879561,0.084697813,0.061147874,0.115267319,0.076914986,0.127905666,0.067625363,0.089381123,0.085632281,0.171094891,0.060671339,0.115267319,0.102232309,0.07186113,0.101015245,0.110807606,0.096929064,0.088642837,-0.084622115,0.081132383,0.055439075,0.075883698,-0.152158109,-0.008948761,0.133782436,0.050085985,0.033205673,0.078049949,-0.169350787,0.371733432,-0.111075509,0.279021762,0.925077711,1,0.173598008,0.392371364,-0.064255616,0.485494018,-0.032039664,-0.115172225,0.336441849,0.142314684,0.530697133,-0.028051703,-0.000653822,0.370963132,-0.007711321,0.084334813,-0.077037905,-0.010049899,0.044023844,0.025137197,-0.030908571,-0.058936646,-0.072934235,0.061130789,0.078852041,0.039272361,0.059464015,0.027073628,0.081272751,0.076299994,0.014572589,0.049891826,0.058222136,0.014717445,0.084697813,0.052220962,0.108039588,0.070044081,0.046779308,0.033397049,-0.096565967,0.046945877,-0.002924256,0.064410149,-0.103600077,-0.043337301,0.093314291,-0.055975816,0.027686173,-0.077295028,-0.056562084,0.164448545,-0.096681293,-0.087322895,0.009733892,0.021662561,0.010576061,-0.061653765,0.09519665,-0.035164357,-0.010647547,-0.014400144,-0.101732675,-0.091373628,-0.053754754,0.154112353,-0.055575621,0.180779182,-0.1046226,-0.069931677,-0.036230001,-0.096757943,-0.048351969,0.147429317,-0.036450413,-0.097746277,0.05242656,0.015886509,0.366127318,-0.029779869,0.03649153,-0.011332808,-0.135350594,-0.056088769,-0.075162226,-0.035164357,-0.044336596,0.024854259,-0.199707166,-0.028051936,0.088218688,0.07084182,-0.041606833,0.113779343,0.094247423
Place 132851,0.172972652,0.160780632,0.108401027,-0.042731972,0.106705939,0.070550501,0.145844924,0.090180441,0.155908571,0.079665361,0.103667536,0.097170176,0.218110186,0.072114297,0.145844924,0.121484233,0.091716764,0.12531753,0.133453966,0.117011934,0.106146612,-0.072167336,0.099607775,0.057137123,0.09169505,-0.134449326,0.006380497,0.17170959,0.062891464,0.0333501,0.091161672,-0.164241453,0.227368898,-0.097809524,0.556569326,0.108572606,0.173598008,1,0.557027481,-0.0465224,0.371757244,-0.014759043,-0.1068799,0.514774952,0.701790044,0.215668932,-0.012188776,0.014597418,0.498133235,0.012573609,0.121393073,-0.069567292,0.001608311,0.068055057,0.045460489,-0.01376681,-0.036402978,-0.0522542,-0.056556734,0.094612906,0.053472078,0.077951769,0.027786333,0.099853064,0.099637111,0.019174387,0.060713428,0.076885083,0.025509686,0.106705939,0.06475145,0.131152895,0.084241097,0.057993655,0.03857848,-0.088606678,-0.057013957,0.016738621,-0.113877738,-0.091234396,-0.122239926,0.128464608,-0.037337833,0.047659969,-0.0707374,-0.044995883,0.214007797,-0.086084374,-0.079615508,0.027016734,0.04908224,-0.078621469,-0.048020295,-0.027899575,-0.006511,0.017830693,-8.45E-05,-0.090579851,-0.086986174,-0.032907212,0.635956823,-0.040388339,-0.020234773,-0.093153326,-0.057046559,-0.030106153,-0.085149689,-0.029917689,-0.087157113,-0.01946112,-0.084996398,0.169778297,0.034778988,0.403770919,-0.01277666,0.055259636,0.009423023,-0.12230433,-0.046715004,-0.061246183,-0.006511,-0.031001021,0.174424774,-0.195917931,-0.003909848,0.102285057,0.087368424,-0.027630562,0.489759752,0.114751345
Place 132854,0.157576534,0.150739002,0.102844698,-0.046122646,0.098458142,0.068540226,0.133821013,0.086266374,0.145226108,0.07642507,0.099198556,0.094508966,0.198184777,0.068957934,0.133821013,0.114721383,0.084585136,0.115899706,0.124923398,0.109801127,0.099928683,-0.07611665,0.093222695,0.059366802,0.086724778,-0.141515828,0.0008936,0.156091618,0.058979641,0.036196852,0.087332102,-0.16393823,0.117020808,-0.102018727,0.481681193,0.465148782,0.392371364,0.557027481,1,-0.053086982,0.877058202,0.047030542,-0.022867916,0.191558994,0.29663013,0.52612018,-0.017506664,0.009356371,0.378856242,0.004521362,0.106005609,-0.070685208,-0.001942882,0.058668637,0.037673554,-0.020040351,-0.045678024,-0.060882648,-0.065806559,0.089335434,0.048787597,0.071180542,0.030219736,0.093046759,0.090674214,0.019547381,0.057915265,0.070017953,0.02257624,0.098458142,0.060992068,0.122372035,0.079815142,0.054977489,0.038688744,-0.090199962,-0.061408963,0.009030303,-0.1170812,-0.095181339,-0.122464618,0.114065521,-0.044824143,0.040064524,-0.071305175,-0.048510541,0.192805882,-0.088999711,-0.08092952,0.020893409,0.037870083,-0.081766647,-0.052592961,-0.034129512,-0.018853282,0.005602981,-0.004984341,-0.093808467,-0.086554783,-0.041467844,0.286229419,-0.046031645,-0.019114331,-0.096447148,-0.061421696,-0.030208161,-0.088669824,-0.037113665,-0.093745403,-0.02585183,-0.089194343,0.26955567,0.027771214,0.359157263,-0.018973359,0.048325023,0.001110468,-0.126814936,-0.048806555,-0.065947148,-0.018853282,-0.035280185,0.178328226,-0.194734156,-0.013448541,0.098263304,0.082009636,-0.032453086,0.464819307,0.107313642
Place 132856,-0.022885811,-0.004685773,-0.016495613,-0.140751686,-0.028133851,-0.025949813,-0.027347467,-0.018701457,-0.012032181,-0.026800559,-0.007631766,-0.016964192,-0.012149867,-0.026978872,-0.027347467,-0.009156984,-0.037387827,-0.016258562,-0.005439445,-0.014887456,-0.010690271,-0.159448159,-0.027492233,-0.02700092,-0.029687352,-0.220848019,-0.090424751,-0.025144718,-0.037646758,-0.041292074,-0.017535676,0.080966662,-0.095919127,0.121978128,-0.041903902,-0.061980973,-0.064255616,-0.0465224,-0.053086982,1,-0.043468261,0.013126735,0.188179573,-0.046353809,-0.030223262,-0.025827714,0.083763746,-0.087556517,-0.052090954,-0.096077405,0.064952667,-0.105614656,-0.087290509,-0.067216772,-0.072068681,-0.117509363,-0.146286308,-0.149230627,-0.159776883,-0.01852245,-0.048555371,-0.038620627,-0.044928456,-0.018388677,-0.037252859,-0.0609662,-0.037251761,-0.039909958,-0.066824184,-0.028133851,-0.035494303,-0.008494192,-0.025762598,-0.040378869,-0.044843045,0.169140129,-0.147908442,0.051162448,0.067133937,0.016021886,0.426195395,-0.054260624,-0.132451369,-0.069433023,0.120241348,0.3316019,-0.022959339,0.065902027,0.239669868,0.06171497,-0.091305942,0.255116712,-0.08413251,-0.131284171,-0.134676583,-0.111783546,-0.095745854,0.393240235,0.262320823,-0.135114841,-0.068787695,-0.128727872,-0.101133628,0.015666724,-0.141067557,0.245839553,0.213245507,0.247329888,-0.185776127,-0.117682469,0.072915302,-0.06985513,-0.079825205,-0.074424823,-0.116375486,0.017526381,-0.099748876,-0.202024556,-0.083030179,0.064627022,-0.134676583,-0.125596648,-0.063116942,0.060375965,-0.133352398,-0.01671134,-0.034999483,0.106689087,-0.089940665,-0.017788098
Place 132858,0.24044663,0.233635117,0.16772877,-0.028412309,0.158956526,0.121681548,0.209787254,0.144354913,0.225860152,0.132553531,0.160437355,0.160398901,0.294389939,0.120210852,0.209787254,0.182069078,0.14181912,0.180932249,0.193782016,0.175075211,0.158953429,-0.072720891,0.154073439,0.116217144,0.147196852,-0.165255721,0.025787438,0.238354664,0.10598653,0.084300701,0.145872042,-0.178313008,0.020008415,-0.104787808,0.42818199,0.591048312,0.485494018,0.371757244,0.877058202,-0.043468261,1,-0.001857279,-0.112176479,0.196251294,0.235862337,0.775025162,0.007246594,0.039465456,0.374739654,0.028400225,0.170657947,-0.060316052,0.024107578,0.105073119,0.07522051,-0.000339225,-0.038731146,-0.061739466,-0.067177649,0.14637786,0.091460153,0.120507195,0.074751311,0.149129007,0.147899204,0.058581604,0.106549537,0.118850883,0.05858977,0.158956526,0.108855091,0.19014843,0.135171995,0.102366096,0.083755941,-0.088788833,-0.053584881,0.034821157,-0.125868509,-0.098086494,-0.126328841,0.181985735,-0.038856435,0.078620351,-0.059747542,-0.036685328,0.28680808,-0.087798696,-0.074704304,0.055790636,0.075608151,-0.080283374,-0.042733814,-0.018433968,-0.005101381,0.027151321,0.019352783,-0.094627852,-0.08027734,-0.034540971,0.159133169,-0.038235372,0.011309946,-0.096946723,-0.056337489,-0.00293085,-0.088834904,-0.026367165,-0.097766759,-0.010344221,-0.091111117,0.26929471,0.063415546,0.252438341,0.001175666,0.090367857,0.023543312,-0.142294874,-0.032467223,-0.060029904,-0.005101381,-0.018270128,0.175706344,-0.21537544,0.009828833,0.163555145,0.140513968,-0.017553727,0.283211943,0.171539862
Place 132861,0.034733141,0.045857444,0.022948905,0.072732788,0.013035498,0.005985,0.024617571,0.016278361,0.038962685,0.007782757,0.027817615,0.020613967,0.054419792,0.005122439,0.024617571,0.031491863,0.002524937,0.026475099,0.036923848,0.025915529,0.025558177,0.077220036,0.012195054,0.003369854,0.008932105,-0.195410973,-0.06052832,0.032678212,-0.005517317,-0.013782662,0.017433138,-0.140361715,-0.066013149,-0.160542827,-0.000338833,-0.029773328,-0.032039664,-0.014759043,0.047030542,0.013126735,-0.001857279,1,0.182891369,-0.014198626,0.004386327,0.017243034,-0.016263408,0.012456119,0.001522896,0.231314872,0.257906298,0.25558298,-0.058889499,-0.02658426,-0.036519732,-0.017844452,0.029785823,0.128722389,0.135940725,0.017056127,-0.016393283,-0.002787974,-0.018340357,0.017977201,0.004176856,-0.033115097,-0.005301963,-0.004060313,-0.036869392,0.013035498,-0.00337084,0.033972517,0.009285182,-0.008424232,-0.016044968,-0.13978324,0.271257603,-0.058898769,-0.168773025,0.048868234,-0.011570927,-0.000497424,0.26534203,0.533827768,-0.030887515,-0.103524199,0.04511799,-0.142910926,-0.132968104,-0.050093364,0.04793212,0.056383793,0.002603653,-0.099558395,-0.098298347,0.284217076,-0.065865988,-0.147879908,-0.13435365,0.162758081,-0.037024771,0.010305856,-0.072511302,0.302938486,-0.114816467,0.12655114,-0.142610163,-0.099718404,-0.095912112,0.040334265,-0.143217708,-0.025130921,-0.044781342,-0.042557528,0.322145381,-0.024922095,-0.067381362,-0.088241241,-0.105631654,0.323903557,-0.098298347,-0.095662583,-0.030905169,-0.004919009,0.42475225,0.021676598,0.003717619,-0.090284418,-0.059871469,0.023093911
Place 132862,-0.120006412,-0.098418286,-0.091561279,-0.106131953,-0.100440084,-0.089042603,-0.117110537,-0.08638517,-0.10446044,-0.093476828,-0.07717189,-0.092878635,-0.122925477,-0.088270975,-0.117110537,-0.085966789,-0.107367147,-0.091902567,-0.083558917,-0.090331368,-0.078450599,0.074799503,-0.099873227,-0.09386997,-0.101820674,0.019540906,0.110437236,-0.121965226,-0.095959543,-0.10059156,-0.085530778,0.132356993,-0.139735456,0.187999077,-0.110977495,-0.113527883,-0.115172225,-0.1068799,-0.022867916,0.188179573,-0.112176479,0.182891369,1,-0.102240875,-0.095980704,-0.099300142,-0.166843127,-0.134960955,-0.137701285,0.047368858,-0.06431904,0.141759056,0.125127019,0.228243866,0.027872642,0.012629132,0.048973765,-0.172185404,-0.016577723,-0.085178642,-0.103829949,-0.099986352,-0.100876289,-0.084138784,-0.107415014,-0.113524445,-0.097177115,-0.100937692,-0.117320079,-0.100440084,-0.094407574,-0.085912546,-0.091562955,-0.099429361,-0.10164206,0.02446893,-0.004311042,-0.134697022,0.12438434,0.204679276,0.027836823,-0.139515793,-0.160259428,0.080375407,-0.159341594,0.102054447,-0.133101671,-0.014223439,0.096428592,-0.089611058,-0.148434222,0.052825058,0.041608985,-0.127611591,-0.062179193,0.071623425,-0.137972189,-0.017104238,0.157166999,-0.164519527,-0.122911147,-0.016737039,-0.150228864,-0.0808977,0.284436012,-0.032299608,0.114500637,0.000772519,0.05338501,-0.153666143,0.057604101,-0.143215947,-0.083109261,-0.125477341,0.098547089,-0.11698167,-0.047740944,-0.048376891,-0.173691763,-0.00703548,-0.007260512,-0.164213095,-0.11434903,0.226860513,-0.180715831,-0.092082969,-0.105813088,0.065273259,-0.138718546,-0.092542585
Place 132866,0.16951394,0.162199525,0.112381457,-0.038490317,0.107712681,0.076911794,0.145080568,0.094991267,0.156619359,0.085202605,0.107931509,0.104313245,0.211426558,0.077059421,0.145080568,0.124284836,0.093768633,0.125303785,0.134494025,0.119270567,0.108399111,-0.069819198,0.102572586,0.068458352,0.096156573,-0.136854448,0.007574311,0.168019859,0.066854781,0.044615993,0.09608003,-0.156934673,0.254154098,-0.095468863,0.095746592,0.411508199,0.336441849,0.514774952,0.191558994,-0.046353809,0.196251294,-0.014198626,-0.102240875,1,0.618426654,0.332422793,-0.009719963,0.016672599,0.397635133,0.011174729,0.116971192,-0.063593113,0.004855763,0.067360625,0.045361037,-0.013105893,-0.039573193,-0.055741175,0.076928992,0.097855377,0.056432334,0.079311319,0.038256959,0.101369336,0.099782775,0.027334309,0.066046283,0.078123939,0.030033586,0.107712681,0.068912796,0.131895372,0.088400855,0.063042144,0.046711068,-0.083874443,-0.054937158,0.015783956,0.07468764,-0.089141971,-0.1155546,0.12511149,-0.039307837,0.04780246,-0.063991136,-0.042076122,0.2060945,-0.082572921,-0.074118893,0.028743757,0.046176107,-0.075693768,-0.046176218,0.110428159,-0.012340608,0.012359884,0.001839206,-0.087493434,-0.079673882,-0.035757177,0.368804349,-0.040328407,-0.011007235,-0.089879015,-0.055590616,-0.02192068,-0.082478578,-0.031023372,0.160015481,-0.019505207,-0.083261729,0.181385636,0.035510549,0.307171574,-0.012015452,0.056237739,0.007688077,-0.121600329,-0.041545669,-0.059579075,-0.012340608,-0.028346876,0.04253934,-0.187386583,-0.005540378,0.107923002,0.091348879,-0.026097735,0.06654,0.116735735
Place 132869,0.220385506,0.206047623,0.144297329,-0.023413169,0.141569952,0.100347963,0.189374221,0.122398255,0.200603821,0.111291006,0.136876686,0.133118864,0.272536267,0.101196305,0.189374221,0.158379116,0.125309813,0.161946756,0.17119286,0.153290703,0.138712383,-0.058950223,0.134288195,0.088201261,0.126080207,-0.130689278,0.026411453,0.218997083,0.090611802,0.060712806,0.123521384,-0.155532279,0.152627634,-0.085723848,0.344550475,0.144382627,0.142314684,0.701790044,0.29663013,-0.030223262,0.235862337,0.004386327,-0.095980704,0.618426654,1,0.381548446,0.009757978,0.037110179,0.458264996,0.032903177,0.162177632,-0.053735422,0.021693936,0.09840905,0.071247318,0.005522394,-0.021297122,-0.041129285,-0.044880068,0.126510524,0.07980396,0.107444132,0.0536045,0.131507095,0.133534834,0.043568038,0.089061609,0.106223813,0.04929933,0.141569952,0.092746224,0.168577427,0.115600737,0.085941558,0.065074053,-0.076438832,-0.042190112,0.037677493,-0.104759386,-0.080168931,-0.110759986,0.170029724,-0.023987042,0.073761439,-0.054320225,-0.029381581,0.268237198,-0.0734709,-0.065352456,0.051986613,0.076862583,-0.066515121,-0.03270838,-0.009776014,0.011891475,0.038731701,0.01991336,-0.078632769,-0.073003901,-0.018689938,0.550585507,-0.026656315,0.002252219,-0.080648572,-0.044115823,-0.007840649,-0.073180366,-0.014323546,-0.075570015,-0.002325469,-0.073798384,0.220790712,0.059962147,0.123734958,0.0066561,0.08244958,0.029291984,-0.115954094,-0.028746446,-0.047045646,0.011891475,-0.012915429,0.065401299,-0.1884776,0.018880264,0.13814157,0.121154075,-0.011020575,0.213879524,0.15071919
Place 132870,0.281821579,0.27149018,0.197362613,-0.009513663,0.188781162,0.145830813,0.2473306,0.170741647,0.263607165,0.158472036,0.187504361,0.18928921,0.342198551,0.144143476,0.2473306,0.212647894,0.170554218,0.21218688,0.225418222,0.205423958,0.186068597,-0.057984045,0.183231361,0.140205402,0.175785678,-0.155653417,0.044727731,0.279742194,0.129303325,0.10556562,0.172320202,-0.166474841,0.039131195,-0.090204548,0.171562974,0.532838987,0.530697133,0.215668932,0.52612018,-0.025827714,0.775025162,0.017243034,-0.099300142,0.332422793,0.381548446,1,0.028265999,0.060195428,0.221481918,0.048396827,0.207821002,-0.044502461,0.042491671,0.132564793,0.09884669,0.018826699,-0.021356594,-0.047556859,-0.052170842,0.172887149,0.114150313,0.145999403,0.095013721,0.175866437,0.177369281,0.078653202,0.130037786,0.144278381,0.079227488,0.188781162,0.132295901,0.221676027,0.1611877,0.125672008,0.105177508,-0.07538351,-0.037732031,0.055090033,-0.113745555,-0.084652401,-0.113096881,0.219241589,-0.023627506,0.102380512,-0.043612658,-0.0208272,0.335047589,-0.073582384,-0.059872184,0.078601195,0.102129566,-0.06661768,-0.026647468,0.000115428,0.015413351,0.049073369,0.038221046,-0.080734848,-0.066142502,-0.018290036,0.086913978,-0.023297415,0.030567468,-0.082483481,-0.042101154,0.01687567,-0.07496266,-0.009546163,-0.082999277,0.007192477,-0.077641725,0.153650673,0.086528319,0.078507014,0.020407085,0.114592383,0.043334261,-0.13179639,-0.015099696,-0.044473791,0.015413351,-0.000407687,0.093957658,-0.204073567,0.032938471,0.192741936,0.168860251,-0.000833169,0.050309746,0.201772921
